id tweet,author,palabra
1567257760231833600,@psucresito,tomo
1567178421238644743,@interdiario,#felizmartes
1567149401172332546,@benavidesang,su
1567133033647509504,@elangel_ven0,del
1567190465635844096,@visitsangel,buenos
1567344452632563713,@vvzll__,su
1567124914645131268,@el_chema__,#felizmartes
1567150992210231296,@richard89cubano,donde
1567281209947873282,@ajuradoro,javier
1567319450608668672,@humbert38622177,🥭🍌🍊🍉
1567120443563188225,@traselvalle_obc,favor
1567155613397917696,@espinosacrsiete,la
1567158357961605124,@_araela_,y
1567182635436228610,@elhoroscopodel1,se
1567145055227625473,@victoriaal100,rt
1567184342908035072,@troppofelice,de
1567171903957221379,@pedrosaulinfant,buenos
1567164442869104641,@miguelsuacur,un
1567204687736193026,@olgalmd,#guanajuato
1567173867633778689,@colombiagraria,en:
1567145516944744453,@fathermarch,que
1567143806813732865,@iyaracuy,#6sep
1567123949963583489,@luisiete007,#labase
1567260614665424896,@gloria68935258,birmania
1567306183811145730,@adielgarcia1982,decir
1567099556361375749,@anchpedrom,@reynamadelayne:
1567216969669132297,@ttrifasika,lacra
1567329577332006917,@angelad19861181,las
1567177422277169154,@meriey_,a
1567129593378643968,@lupitaguti8,importa.
1567121830346883072,@traselvalle_obc,una
1567134963962892288,@glorialeall,días!
1567136287429124101,@pantic96,ciudadanía...!!
1567117222065086466,@cjcollazos,querido
1567120843494330368,@traselvalle_obc,#tevda
1567138269690793984,@jjaranaz94,3
1567469105464098818,@acgrevolucion,de
1567098854528483331,@peneidaman,💫🌹
1567246996401971201,@lacorneja54,encuentro
1567135705616236547,@traselvalle_obc,"rubia”,"
1567112395876605953,@ruedaloca6,#inamehinforma
1567136581303111680,@oswaldoerazo11,proyección
1567260649893371904,@omar_pdvsa,🔎
1567202951587921921,@lucerogilibarr1,costa
1567273325042311169,@carlael86,que
1567244442251284483,@maxivebl,#santamaríademoreruela
1567194564821139456,@lisney2022,junto
1567120710295756801,@traselvalle_obc,"(...)"""
1567130591975325705,@ragnar500500,de
1567241634093432832,@barinaga_olano,20
1567433009325809668,@miercolesrepu23,#felizmartes
1567119811053846528,@traselvalle_obc,#coronavirus
1567205288536866817,@pueblaredes_,a
1567414319331041280,@alicia1720,ramón
1567363626402545664,@lasihesa178,buenos
1567325194749968390,@x100fuegos,#felizmartes
1567196892739543051,@mercede96232104,nos
1567246989292707843,@caserio74600952,un
1567291825022541829,@juancarpzmol,(#valencia).
1567134673330995201,@osma_rys19,el
1567139033347751937,@jjaranaz94,"da,"
1567352790703394816,@josemal60318987,le
1567129426332160000,@churuguara68_v2,otras
1567224072056016896,@_0_booom_6996,días
1567159082003341312,@barbaraza168,visto
